Nom de la boutique;Rendez-vous nécessaire;N° de téléphone;Adresse;Horaires
Parfums Henry Jacques;recommandé;07 65 18 64 42;2 Av. Montaigne, 75008 Paris;"Lundi : 10:30–19:00
Mardi : 10:30–19:00
Mercredi : 10:30–19:00
Jeudi : 10:30–19:00
Vendredi : 10:30–19:00
Samedi : 10:30–19:00
Dimanche : 13:00–19:00
"
Jil Sander;non;01 44 95 06 70;Av. Montaigne 2, 75008 Paris;"Lundi : 10:00–19:00
Mardi : 10:00–19:00
Mercredi : 10:00–19:00
Jeudi : 10:00–19:00
Vendredi : 10:00–19:00
Samedi : 10:00–19:00
Dimanche : Fermé
"
Shiatzy Chen;Non;01 40 76 05 61;8 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:00
Mardi : 10:00–19:00
Mercredi : 10:00–19:00
Jeudi : 10:00–19:00
Vendredi : 10:00–19:00
Samedi : 10:00–19:00
Dimanche : Fermé
"
Prada;non;01 47 23 31 91;10 -12 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:30
Mardi : 10:00–19:30
Mercredi : 10:00–19:30
Jeudi : 10:00–19:30
Vendredi : 10:00–19:30
Samedi : 10:00–19:30
Dimanche : 11:00–19:00
"
Bottega Veneta;non;01 53 57 89 89 ou Naema Manat : 06 44 18 86 38 / Lucie Prevotat : 06 76 76 88.74;12 Av. Montaigne, 75008 Paris;"Lundi : 10:30–19:00
Mardi : 10:30–19:00
Mercredi : 10:30–19:00
Jeudi : 10:30–19:00
Vendredi : 10:30–19:00
Samedi : 10:30–19:00
Dimanche : 12:00–19:00
"
Brunello Cucinelli;recommandé;07 67 14 22 84 (demander Yohan Pécune);14/16 Av. Montaigne, 75008 Paris;"Lundi : 11:00–19:00
Mardi : 11:00–19:00
Mercredi : 11:00–19:00
Jeudi : 11:00–19:00
Vendredi : 11:00–19:00
Samedi : 11:00–19:00
Dimanche : 13:00–19:00
"
Giorgio Armani;oui;01 56 62 12 61 ou Rami : 0648651744;18 Av. Montaigne, 75008 Paris;"Lundi : 10:30–19:00
Mardi : 10:30–19:00
Mercredi : 10:30–19:00
Jeudi : 10:30–19:00
Vendredi : 10:30–19:00
Samedi : 10:30–19:00
Dimanche : 10:30–19:00
"
Louis Vuitton Montaigne;sur le site internet;09 77 40 40 77 ou Benjamin Raimondi : 06 66 81 75 36;22 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:30
Mardi : 10:00–19:30
Mercredi : 10:00–19:30
Jeudi : 10:00–19:30
Vendredi : 10:00–19:30
Samedi : 10:00–19:30
Dimanche : 11:00–19:00
"
Dior Baby Montaigne;recommandé (site/whatsapp);01 45 63 12 51;26 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:30
Mardi : 10:00–19:30
Mercredi : 10:00–19:30
Jeudi : 10:00–19:30
Vendredi : 10:00–19:30
Samedi : 10:00–19:30
Dimanche : 11:00–19:00
"
Dior Montaigne;recommandé (site/whatsapp);01 57 96 19 47 ou Léa Para : 06 40 10 03 72 / Alena Krivikhina : 06 80 54 50 96;30 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:30
Mardi : 10:00–19:30
Mercredi : 10:00–19:30
Jeudi : 10:00–19:30
Vendredi : 10:00–19:30
Samedi : 10:00–19:30
Dimanche : 11:00–19:00
"
Tiffany & Co;recommandé;01 87 05 46 00 ou Sonia Bessamra : 06 44 50 37 88;34 Av. Montaigne, 75008 Paris;"Lundi : 11:00–19:30
Mardi : 11:00–19:30
Mercredi : 11:00–19:30
Jeudi : 11:00–19:30
Vendredi : 11:00–19:30
Samedi : 11:00–19:30
Dimanche : Fermé
"
Loro Piana;non;01 56 64 06 00 ou Daria : 0785059231 01 56 64 06 00 ou Mme. Augustine : 07 88 09 58 03;38 Av. Montaigne, 75008 Paris;"Lundi : 10:15–19:00
Mardi : 10:15–19:00
Mercredi : 10:15–19:00
Jeudi : 10:15–19:00
Vendredi : 10:15–19:00
Samedi : 10:15–19:00
Dimanche : 12:15–18:00
"
Chanel 42 Montaigne;oui;lalignedelaboutique.france@chanel.com;42 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:00
Mardi : 10:00–19:00
Mercredi : 10:00–19:00
Jeudi : 10:00–19:00
Vendredi : 10:00–19:00
Samedi : 10:00–19:00
Dimanche : 11:00–19:00
"
Loewe;non;01 53 57 92 50 ou Jorge Sacristan : 06 59 33 92 58;46 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:30
Mardi : 10:00–19:30
Mercredi : 10:00–19:30
Jeudi : 10:00–19:30
Vendredi : 10:00–19:30
Samedi : 10:00–19:30
Dimanche : 12:00–19:00
"
Ralph Lauren;non;01 84 88 52 14 ou 01 44 77 28 00 ou Fatie Kanache : 06 03 28 33 84;52 Av. Montaigne, 75008 Paris;"Lundi : 10:30–19:00
Mardi : 10:30–19:00
Mercredi : 10:30–19:00
Jeudi : 10:30–19:00
Vendredi : 10:30–19:00
Samedi : 10:30–19:00
Dimanche : 12:00–18:00
"
Jacquemus;non;01 86 47 83 72 ou Clara Dumont : 07 56 27 78 25;58 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:30
Mardi : 10:00–19:30
Mercredi : 10:00–19:30
Jeudi : 10:00–19:30
Vendredi : 10:00–19:30
Samedi : 10:00–19:30
Dimanche : 12:00–19:00
"
Gucci;recommandé (site internet);01 56 69 80 80 ou Lafita Touimi : 06 38 81 44 11 / Xavier : 06 85 18 74 93;60 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:00
Mardi : 10:00–19:00
Mercredi : 10:00–19:00
Jeudi : 10:00–19:00
Vendredi : 10:00–19:00
Samedi : 10:00–19:00
Dimanche : 11:00–19:00
"
Valentino;recommandé;07 88 99 36 78 ou 01 47 23 64 61 ou M. Oussama : 06 46 12 97 46;35 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:30
Mardi : 10:00–19:30
Mercredi : 10:00–19:30
Jeudi : 10:00–19:30
Vendredi : 11:30–19:30
Samedi : 10:00–19:30
Dimanche : 11:00–19:00
"
Versace;recommandé;06 02 01 61 17 demander Pauline Lemire;45 Av. Montaigne, 75008 Paris;"Lundi : 11:00–19:00
Mardi : 11:00–19:00
Mercredi : 11:00–19:00
Jeudi : 11:00–19:00
Vendredi : 11:00–19:00
Samedi : 11:00–19:00
Dimanche : 11:00–19:00
"
Bonpoint;Non;06 33 53 50 88;49 Av. Montaigne, 75008 Paris;"Lundi : 10:00–19:00
Mardi : 10:00–19:00
Mercredi : 10:00–19:00
Jeudi : 10:00–19:00
Vendredi : 10:00–19:00
Samedi : 10:00–19:00
Dimanche : 12:00–19:00
"
