Nom du Spa;Adresse;Téléphone;Horaires (7j/7);Style - Ambiance;Pourquoi dans le Top 15 ?
SPA DIOR (Cheval Blanc);8 Quai du Louvre, 1er;01 79 35 50 55;"lundi : 10:00–20:00
mardi : 10:00–20:00
mercredi : 10:00–20:00
jeudi : 10:00–20:00
vendredi : 10:00–20:00
samedi : 10:00–20:00
dimanche : 10:00–20:00
";Ultra-Luxe & Design;Piscine de 30m avec écran panoramique, l'adresse la plus exclusive.
SPA VALMONT (Le Meurice);228 Rue de Rivoli, 1er;01 44 58 10 10;"lundi : 09:00–19:00
mardi : 09:00–19:00
mercredi : 09:00–19:00
jeudi : 09:00–19:00
vendredi : 09:00–19:00
samedi : 09:00–19:00
dimanche : 09:00–19:00
";Intimiste & Élégant;Expertise suisse Valmont, cadre historique et soins anti-âge réputés.
SPA LE BRISTOL BY LA PRAIRIE;112 Fbg St-Honoré, 8e;01 53 43 41 67;"lundi : 09:00–21:00
mardi : 09:00–21:00
mercredi : 09:00–21:00
jeudi : 09:00–21:00
vendredi : 09:00–21:00
samedi : 09:00–21:00
dimanche : 09:00–21:00
";Lumineux & Classique;Piscine sur le toit vue Sacré-Cœur, marque La Prairie.
SPA MY BLEND BY CLARINS;37 Av. Hoche, 8e;01 88 80 18 76 ;"lundi : Fermé
mardi : 11:00–19:30
mercredi : 11:00–21:00
jeudi : 11:00–19:30
vendredi : 11:00–19:30
samedi : 11:00–19:30
dimanche : 11:00–19:30
";Futuriste & Blanc;Au Royal Monceau. Piscine de 23m baignée de lumière naturelle.
SPA CHI (Shangri-La);10 Av. d'Iéna, 16e;01 53 67 19 78;"lundi : 09:00–21:00
mardi : 09:00–21:00
mercredi : 09:00–21:00
jeudi : 09:00–21:00
vendredi : 09:00–21:00
samedi : 09:00–21:00
dimanche : 09:00–21:00
";Impérial & Serein;Anciennes écuries de Roland Bonaparte, piscine avec terrasse extérieure.
AKASHA (Hôtel Lutetia);45 Bd Raspail, 6e;01 49 54 46 12;"lundi : 07:00–22:00
mardi : 07:00–22:00
mercredi : 07:00–22:00
jeudi : 07:00–22:00
vendredi : 07:00–22:00
samedi : 07:00–22:00
dimanche : 07:00–22:00
";Moderne & Minéral;700m² de bien-être, piscine de 17m en marbre, approche holistique.
CHANEL AU RITZ PARIS;17 Pl. Vendôme, 1er;01 43 16 30 60;"lundi : 07:00–22:00
mardi : 07:00–22:00
mercredi : 07:00–22:00
jeudi : 07:00–22:00
vendredi : 07:00–22:00
samedi : 07:00–22:00
dimanche : 07:00–22:00
";Mythique & Couture;La piscine la plus célèbre de Paris avec musique subaquatique.
SPA DIOR (Plaza Athénée);25 Av. Montaigne, 8e;01 53 67 65 35;"lundi : 11:00–19:00
mardi : 11:00–19:00
mercredi : 11:00–19:00
jeudi : 11:00–19:00
vendredi : 11:00–19:00
samedi : 11:00–19:00
dimanche : 11:00–19:00
";Raffinement Dior;Temple de la beauté sur l'avenue Montaigne, suite de soin VIP.
SPA DU PENINSULA;19 Av. Kléber, 16e;01 58 12 28 88;"lundi : 09:00–21:00
mardi : 09:00–21:00
mercredi : 09:00–21:00
jeudi : 09:00–21:00
vendredi : 09:00–21:00
samedi : 09:00–21:00
dimanche : 09:00–21:00
";Oriental & Luxueux;Plus grand spa d'hôtel à Paris (1800m²), cascades et luxe asiatique.
SPA SOTHYS (Le Burgundy);6 Rue Duphot, 1er;01 42 60 34 12;"lundi : 10:00–20:00
mardi : 10:00–20:00
mercredi : 10:00–20:00
jeudi : 10:00–20:00
vendredi : 10:00–20:00
samedi : 10:00–20:00
dimanche : 10:00–20:00
";Zen & Feutré;Ambiance tamisée, idéal pour une déconnexion totale en plein centre.
SPA LA RÉSERVE;42 Av. Gabriel, 8e;01 58 36 60 90;"lundi : 09:00–21:00
mardi : 09:00–21:00
mercredi : 09:00–21:00
jeudi : 09:00–21:00
vendredi : 09:00–21:00
samedi : 09:00–21:00
dimanche : 09:00–21:00
";Confidentiel & Chic;Très sélectif, piscine de 16m dans une ambiance club privé.
