Nom de l'Activité;Adresse;Téléphone / Contact;Horaires;Type;Services VIP / Exclusivité
RITZ KIDS;15 Place Vendôme, 1er;01 43 16 30 30;?;Ateliers Pâtisserie;Cours privés avec les chefs pâtissiers du Ritz.
AQUARIUM DE PARIS;5 Av. Albert de Mun, 16e;01 40 69 23 23;7/7 9h30-19h;Aquarium;Privatisation nocturne ou petit-déjeuner face aux requins.
CITÉ DES ENFANTS;30 Av. Corentin-Cariou, 19e;01 85 53 99 74;Mardi-dimanche 9h15-18h;Science & Éveil;Possibilité de réserver des créneaux privés pour groupes.
JARDIN D'ACCLIMATION;Bois de Boulogne, 16e;01 40 67 90 85;7/7 10h-18h;Parc d'attractions;Pass illimités VIP et pavillons privatifs pour le déjeuner.
ATELIERS DU LOUVRE;Musée du Louvre, 1er;01 40 20 51 77;Voir directement avec un responsable ;Art & Histoire;Visites contées privées adaptées à l'âge des enfants.
PARC ZOOLOGIQUE;Av. Daumesnil, 12e;01 44 75 20 00;Horaires selon saison;Zoo;"""Apprenti soigneur"" : accès privé aux enclos avec un expert."
LA TÊTE DANS LES NUAGES paris opéra;5 Bd des Italiens, 2e;01 40 13 08 08;Lundi-jeudi 11h-00h30 Vendredi 11h-2h samedi 10h-2h dimanche 10h-00h30;Arcade de Luxe;Privatisation de salles avec service traiteur haut de gamme.
MUSEE EN HERBE;23 Rue de l'Arbre Sec, 1er;01 40 67 97 66;7/7 10h-19h;Art Contemporain;Visites guidées privatisées et ateliers d'art sur mesure.
PHILHARMONIE ENFANTS;221 Av. Jean Jaurès, 19e;01 44 84 44 84;Mardi jeudi vendredi 9h30-12h45 / 13h30 - 17h30 mercredi samedi dimanche 10h-13h / 14h-18h;Musique;Découverte privée des instruments et ateliers sonores.
PALAIS DE LA DÉCOUVERTE;Av. Franklin Roosevelt, 8e;01 56 43 20 20;7/7 9h30-19h;Science;Expériences scientifiques privatisées avec un chercheur.
ÉCOLE DE CUISINE ALAIN DUCASSE;64 Rue du Ranelagh, 16e;01 44 90 91 00;Mardi-samedi 9h-18h;Gastronomie;Cours de cuisine parent/enfant en cuisine professionnelle.
LE BON MARCHÉ (Récré);24 Rue de Sèvres, 7e;01 43 21 46 65;Samedi dimanche mercredi 11h00-18h30;Ateliers Créatifs;Service de garderie de luxe avec ateliers couture/design.
DISNEYLAND (VIP TOUR);Marne-la-Vallée;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Selon saison ;Parc Thématique;Guide VIP obligatoire : accès direct à toutes les attractions.
CHASSE AU TRESOR DANS PARIS;Paris;09 72 30 10 31;Selon saison ;Via Deluxe;Via deluxe 
