Activité;Lieu / Organisation;Téléphone;Services & Exclusivité
AEROAFFAIRES;Héliport de Paris;01 44 09 91 82;Helicoptere au dessus de paris, environ 1h, possibilité de chauffeur privé pour arriver à l’héliport
LOUVRE EXCLUSIF;Musée du Louvre;01 40 20 85 61;Privatisation totale des galeries. Seul avec la Joconde. Accompagnement par un conservateur.
VISITE GUIDÉE MONTMARTRE via Deluxe France;Montmartre;09 72 30 10 31;Via deluxe
VERSAILLES EXCLUSIF;Chât. de Versailles;01 30 83 78 00;Visite des Petits Appartements secrets du Roi. Accès exclusif à l'Opéra Royal ou à la Chapelle.
CRÉATION PARFUM UNIQUE;Maison Guerlain;01 47 48 80 79;Plusieurs séances privées avec le Maître Parfumeur. Flacon Baccarat numéroté. Formule éternelle.
MONTGOLFIÈRE PRIVÉE;Plusieurs points de départ possible;06 87 78 23 64;Privatisation de la nacelle. Petit-déjeuner gourmet servi à 300m d'altitude au-dessus de Paris.
OPERA GARNIER;Opéra Bastille/Garnier;08 92 89 90 90 (surtaxé) ou 01 71 25 24 23;Meilleure vue de la salle. Foyer privé pour l'entracte avec service de Champagne & Petits Fours.
VISITE GUIDÉE DU MARAIS;Le Marais;09 72 30 10 31;Via deluxe
VISITE GUIDÉE ILE DE LA CITÉ - NOTRE DAME;Ile de la cite ;09 72 30 10 31;Via deluxe
AFTER HOUR ACCES OPERA GARNIER;Opéra Bastille/Garnier;09 72 30 10 31;Via deluxe
TOUR EIFFEL VIP;Tour Eiffel;09 72 30 10 31;Via deluxe
COURS MACARONS;Paris;09 72 30 10 31;Via deluxe
VISITE GUIDÉE GIVERNY;Giverny;09 72 30 10 31;Via deluxe
WINE-TASTING CHAMPAGNE;En champagne ;09 72 30 10 32;Via deluxe
NORMANDIE PRIVATE TOUR;Normandie ;09 72 30 10 31;Via deluxe
